Consumption DK areas in MWh;;;
Data was last updated 08-02-2017;;;
;DK1;DK2;DK
01/01/2015;50722;35832;86554
02/01/2015;56658;39788;96446
03/01/2015;52724;38489;91213
04/01/2015;51428;38240;89668
05/01/2015;62433;42229;104662
06/01/2015;63592;43125;106717
07/01/2015;63469;42757;106226
08/01/2015;65781;43073;108854
09/01/2015;64057;43039;107096
10/01/2015;57186;39049;96235
11/01/2015;55606;39207;94813
12/01/2015;66249;42848;109097
13/01/2015;63167;41104;104271
14/01/2015;66171;42889;109060
15/01/2015;67259;43505;110764
16/01/2015;63795;41892;105687
17/01/2015;54984;36708;91692
18/01/2015;54337;36953;91290
19/01/2015;65740;41438;107178
20/01/2015;66835;42735;109570
21/01/2015;67530;42051;109581
22/01/2015;66448;41499;107947
23/01/2015;64233;41913;106146
24/01/2015;56419;39959;96378
25/01/2015;52853;38391;91244
26/01/2015;64432;42503;106935
27/01/2015;63994;42610;106604
28/01/2015;66013;42659;108672
29/01/2015;66819;43120;109939
30/01/2015;64169;42156;106325
31/01/2015;54817;38850;93667
01/02/2015;54072;38506;92578
02/02/2015;65042;42953;107995
03/02/2015;65908;43129;109037
04/02/2015;67071;43032;110103
05/02/2015;66123;42620;108743
06/02/2015;62703;42374;105077
07/02/2015;55525;37722;93247
08/02/2015;53688;38250;91938
09/02/2015;62223;39640;101863
10/02/2015;62129;39800;101929
11/02/2015;62165;41345;103510
12/02/2015;62601;41763;104364
13/02/2015;60727;41725;102452
14/02/2015;53827;37837;91664
15/02/2015;54642;37572;92214
16/02/2015;64857;42005;106862
17/02/2015;63805;42667;106472
18/02/2015;63877;41164;105041
19/02/2015;65030;41285;106315
20/02/2015;62589;42034;104623
21/02/2015;53198;38172;91370
22/02/2015;51098;36692;87790
23/02/2015;63339;42254;105593
24/02/2015;63924;41501;105425
25/02/2015;62524;40192;102716
26/02/2015;62839;40595;103434
27/02/2015;60341;39528;99869
28/02/2015;51860;36039;87899
01/03/2015;53834;37336;91170
02/03/2015;62322;40610;102932
03/03/2015;62180;40498;102678
04/03/2015;63720;40603;104323
05/03/2015;61666;39671;101337
06/03/2015;59266;39767;99033
07/03/2015;52605;34991;87596
08/03/2015;50640;33261;83901
09/03/2015;58284;37145;95429
10/03/2015;60240;38215;98455
11/03/2015;58966;37701;96667
12/03/2015;58606;37901;96507
13/03/2015;57732;38282;96014
14/03/2015;49518;34952;84470
15/03/2015;49566;34623;84189
16/03/2015;59594;39269;98863
17/03/2015;58661;39440;98101
18/03/2015;57945;36907;94852
19/03/2015;57858;37212;95070
20/03/2015;56745;38212;94957
21/03/2015;50427;35758;86185
22/03/2015;48411;37423;85834
23/03/2015;59779;38470;98249
24/03/2015;59501;38742;98243
25/03/2015;60879;38885;99764
26/03/2015;60812;39107;99919
27/03/2015;57976;38830;96806
28/03/2015;51513;34852;86365
29/03/2015;48339;32598;80937
30/03/2015;61052;37395;98447
31/03/2015;63109;39406;102515
01/04/2015;62028;37961;99989
02/04/2015;50746;33984;84730
03/04/2015;48203;32856;81059
04/04/2015;46173;32694;78867
05/04/2015;44851;31799;76650
06/04/2015;45654;32686;78340
07/04/2015;58463;37702;96165
08/04/2015;57820;37309;95129
09/04/2015;56901;36433;93334
10/04/2015;54174;35552;89726
11/04/2015;47177;31276;78453
12/04/2015;48545;31860;80405
13/04/2015;58719;35788;94507
14/04/2015;59958;37780;97738
15/04/2015;59528;36851;96379
16/04/2015;57631;36619;94250
17/04/2015;54003;35881;89884
18/04/2015;45402;32575;77977
19/04/2015;42550;31369;73919
20/04/2015;53292;34818;88110
21/04/2015;55130;34624;89754
22/04/2015;54905;34843;89748
23/04/2015;55884;34883;90767
24/04/2015;53340;34974;88314
25/04/2015;46559;31863;78422
26/04/2015;44786;32299;77085
27/04/2015;55473;35791;91264
28/04/2015;56297;35761;92058
29/04/2015;56620;35857;92477
30/04/2015;56328;36270;92598
01/05/2015;46066;31659;77725
02/05/2015;43735;30467;74202
03/05/2015;44053;30763;74816
04/05/2015;56453;35526;91979
05/05/2015;56792;36103;92895
06/05/2015;56281;34837;91118
07/05/2015;57427;35083;92510
08/05/2015;54103;34103;88206
09/05/2015;47029;31421;78450
10/05/2015;45747;31102;76849
11/05/2015;55165;33887;89052
12/05/2015;57075;35331;92406
13/05/2015;57215;35013;92228
14/05/2015;46183;30683;76866
15/05/2015;47380;31410;78790
16/05/2015;44867;30532;75399
17/05/2015;44316;30932;75248
18/05/2015;55458;34461;89919
19/05/2015;56408;35141;91549
20/05/2015;56458;34312;90770
21/05/2015;56166;34591;90757
22/05/2015;54051;33918;87969
23/05/2015;45173;30176;75349
24/05/2015;42457;28733;71190
25/05/2015;44111;30832;74943
26/05/2015;54986;33858;88844
27/05/2015;55205;33977;89182
28/05/2015;56274;36577;92851
29/05/2015;53691;33404;87095
30/05/2015;44973;30218;75191
31/05/2015;44246;30028;74274
01/06/2015;54856;33546;88402
02/06/2015;56925;35082;92007
03/06/2015;55547;33640;89187
04/06/2015;53180;33511;86691
05/06/2015;44674;29705;74379
06/06/2015;42013;28244;70257
07/06/2015;42297;28033;70330
08/06/2015;53964;33443;87407
09/06/2015;54120;34071;88191
10/06/2015;53434;34015;87449
11/06/2015;54048;34340;88388
12/06/2015;51386;33240;84626
13/06/2015;44227;29858;74085
14/06/2015;42223;28218;70441
15/06/2015;52976;32860;85836
16/06/2015;53709;34182;87891
17/06/2015;54641;34296;88937
18/06/2015;54459;33873;88332
19/06/2015;51819;33879;85698
20/06/2015;42683;30188;72871
21/06/2015;42771;30643;73414
22/06/2015;53937;33938;87875
23/06/2015;53451;33855;87306
24/06/2015;53703;33481;87184
25/06/2015;54185;33724;87909
26/06/2015;51381;32990;84371
27/06/2015;43959;29769;73728
28/06/2015;43147;28870;72017
29/06/2015;53439;33282;86721
30/06/2015;54133;33443;87576
01/07/2015;54114;33731;87845
02/07/2015;54394;32841;87235
03/07/2015;53401;32687;86088
04/07/2015;45367;29972;75339
05/07/2015;44713;30211;74924
06/07/2015;53013;31795;84808
07/07/2015;54117;33043;87160
08/07/2015;53639;31607;85246
09/07/2015;52597;31354;83951
10/07/2015;48578;31030;79608
11/07/2015;42524;28573;71097
12/07/2015;41267;28306;69573
13/07/2015;47723;31714;79437
14/07/2015;48406;32362;80768
15/07/2015;48852;32577;81429
16/07/2015;48277;32817;81094
17/07/2015;47498;31273;78771
18/07/2015;42380;28618;70998
19/07/2015;42030;28278;70308
20/07/2015;46394;30840;77234
21/07/2015;46798;31539;78337
22/07/2015;46906;31406;78312
23/07/2015;46181;30860;77041
24/07/2015;45348;30532;75880
25/07/2015;42226;28478;70704
26/07/2015;41224;28527;69751
27/07/2015;47867;31637;79504
28/07/2015;48830;32451;81281
29/07/2015;48383;32125;80508
30/07/2015;48666;32462;81128
31/07/2015;46697;31859;78556
01/08/2015;40645;28535;69180
02/08/2015;40683;28370;69053
03/08/2015;51339;32449;83788
04/08/2015;54801;33442;88243
05/08/2015;53535;33083;86618
06/08/2015;54233;33244;87477
07/08/2015;51892;33056;84948
08/08/2015;43498;29373;72871
09/08/2015;42396;28768;71164
10/08/2015;54427;33551;87978
11/08/2015;55171;34805;89976
12/08/2015;54501;34213;88714
13/08/2015;54750;33876;88626
14/08/2015;52629;33824;86453
15/08/2015;45232;30106;75338
16/08/2015;43991;29999;73990
17/08/2015;54984;34541;89525
18/08/2015;55776;34686;90462
19/08/2015;56104;34274;90378
20/08/2015;57218;35486;92704
21/08/2015;55623;34243;89866
22/08/2015;46919;30029;76948
23/08/2015;45029;30197;75226
24/08/2015;56166;34850;91016
25/08/2015;57348;35401;92749
26/08/2015;56950;35008;91958
27/08/2015;56908;35647;92555
28/08/2015;53322;34120;87442
29/08/2015;45313;30206;75519
30/08/2015;45542;30261;75803
31/08/2015;56481;34512;90993
01/09/2015;57500;35418;92918
02/09/2015;56525;34834;91359
03/09/2015;56330;33932;90262
04/09/2015;54057;34360;88417
05/09/2015;45205;31340;76545
06/09/2015;44585;30843;75428
07/09/2015;54208;34010;88218
08/09/2015;56112;34161;90273
09/09/2015;56726;34880;91606
10/09/2015;56046;34960;91006
11/09/2015;53589;34786;88375
12/09/2015;45483;30942;76425
13/09/2015;46060;30903;76963
14/09/2015;56718;35194;91912
15/09/2015;57056;35556;92612
16/09/2015;56486;35754;92240
17/09/2015;56580;35863;92443
18/09/2015;54512;34545;89057
19/09/2015;45567;31024;76591
20/09/2015;44712;30978;75690
21/09/2015;55615;34363;89978
22/09/2015;56968;35574;92542
23/09/2015;56657;35598;92255
24/09/2015;56643;35517;92160
25/09/2015;53985;34600;88585
26/09/2015;44287;31057;75344
27/09/2015;43780;30659;74439
28/09/2015;54415;34897;89312
29/09/2015;55935;35454;91389
30/09/2015;55610;35338;90948
01/10/2015;55731;35968;91699
02/10/2015;53323;34851;88174
03/10/2015;48188;31287;79475
04/10/2015;45204;31944;77148
05/10/2015;55467;35817;91284
06/10/2015;55202;36829;92031
07/10/2015;55805;36865;92670
08/10/2015;57640;37877;95517
09/10/2015;55260;36065;91325
10/10/2015;46593;33214;79807
11/10/2015;45096;32503;77599
12/10/2015;56492;37185;93677
13/10/2015;57619;38337;95956
14/10/2015;57334;38637;95971
15/10/2015;56525;37542;94067
16/10/2015;54600;37815;92415
17/10/2015;47740;34106;81846
18/10/2015;47242;33659;80901
19/10/2015;58667;37377;96044
20/10/2015;59426;38489;97915
21/10/2015;58508;37581;96089
22/10/2015;58834;38202;97036
23/10/2015;54419;37062;91481
24/10/2015;47955;34284;82239
25/10/2015;47912;33730;81642
26/10/2015;58030;37521;95551
27/10/2015;59051;37783;96834
28/10/2015;57292;37906;95198
29/10/2015;59302;39536;98838
30/10/2015;56375;37625;94000
31/10/2015;47375;33629;81004
01/11/2015;47310;33927;81237
02/11/2015;57907;37969;95876
03/11/2015;59545;38714;98259
04/11/2015;59266;40886;100152
05/11/2015;59174;40884;100058
06/11/2015;56635;40384;97019
07/11/2015;47227;35321;82548
08/11/2015;44884;33230;78114
09/11/2015;56298;38053;94351
10/11/2015;56978;38802;95780
11/11/2015;56674;37820;94494
12/11/2015;55011;37239;92250
13/11/2015;55084;37656;92740
14/11/2015;47756;34949;82705
15/11/2015;47834;34242;82076
16/11/2015;57200;37852;95052
17/11/2015;59048;38650;97698
18/11/2015;57935;38654;96589
19/11/2015;59299;39166;98465
20/11/2015;58180;39302;97482
21/11/2015;50327;37322;87649
22/11/2015;48946;37432;86378
23/11/2015;62290;41111;103401
24/11/2015;60168;41288;101456
25/11/2015;62112;40752;102864
26/11/2015;62432;39710;102142
27/11/2015;60316;39123;99439
28/11/2015;50035;36114;86149
29/11/2015;49206;35316;84522
30/11/2015;58626;39943;98569
01/12/2015;61489;40212;101701
02/12/2015;61101;40506;101607
03/12/2015;62330;39599;101929
04/12/2015;57206;39045;96251
05/12/2015;50449;31614;82063
06/12/2015;47936;35915;83851
07/12/2015;60013;38346;98359
08/12/2015;59788;39143;98931
09/12/2015;60750;39486;100236
10/12/2015;61547;40434;101981
11/12/2015;59183;40793;99976
12/12/2015;51541;36779;88320
13/12/2015;51340;36733;88073
14/12/2015;63551;40323;103874
15/12/2015;63318;40927;104245
16/12/2015;64097;41891;105988
17/12/2015;62196;38859;101055
18/12/2015;59243;38209;97452
19/12/2015;51925;35164;87089
20/12/2015;48973;34613;83586
21/12/2015;57035;38728;95763
22/12/2015;57098;39323;96421
23/12/2015;53827;38478;92305
24/12/2015;47618;34729;82347
25/12/2015;44405;33421;77826
26/12/2015;47294;34428;81722
27/12/2015;46802;35080;81882
28/12/2015;52784;38073;90857
29/12/2015;52407;38740;91147
30/12/2015;51263;39574;90837
31/12/2015;48976;37073;86049