Wind power DK prognosis in MWh;;;
02/03/2019;02 - 03;221;42
02/03/2019;03 - 04;245;33
02/03/2019;04 - 05;295;30
02/03/2019;05 - 06;347;25
02/03/2019;06 - 07;411;28
02/03/2019;07 - 08;440;30
02/03/2019;08 - 09;455;45
02/03/2019;09 - 10;467;56
02/03/2019;10 - 11;525;70
02/03/2019;11 - 12;614;81
02/03/2019;12 - 13;725;102
02/03/2019;13 - 14;844;125
02/03/2019;14 - 15;1017;138
02/03/2019;15 - 16;1148;132
02/03/2019;16 - 17;1260;135
02/03/2019;17 - 18;1400;141
02/03/2019;18 - 19;1552;177
02/03/2019;19 - 20;1676;252
02/03/2019;20 - 21;1821;362
02/03/2019;21 - 22;1930;476
02/03/2019;22 - 23;1926;561
02/03/2019;23 - 00;1921;608
03/03/2019;00 - 01;2552;668
03/03/2019;01 - 02;2566;699
03/03/2019;02 - 03;2672;691
03/03/2019;03 - 04;2879;704
03/03/2019;04 - 05;3119;743
03/03/2019;05 - 06;3140;842
03/03/2019;06 - 07;2997;898
03/03/2019;07 - 08;2800;885
03/03/2019;08 - 09;2658;858
03/03/2019;09 - 10;2541;807
03/03/2019;10 - 11;2580;744
03/03/2019;11 - 12;2691;660
03/03/2019;12 - 13;2782;634
03/03/2019;13 - 14;2787;646
03/03/2019;14 - 15;2641;603
03/03/2019;15 - 16;2267;532
03/03/2019;16 - 17;1912;469
03/03/2019;17 - 18;1566;399
03/03/2019;18 - 19;1341;320
03/03/2019;19 - 20;1245;230
03/03/2019;20 - 21;1130;172
03/03/2019;21 - 22;1049;171
03/03/2019;22 - 23;1028;333
03/03/2019;23 - 00;1058;466
04/03/2019;00 - 01;1505;646
04/03/2019;01 - 02;1933;715
04/03/2019;02 - 03;2404;784
04/03/2019;03 - 04;2733;850
04/03/2019;04 - 05;3076;862
04/03/2019;05 - 06;3040;852
04/03/2019;06 - 07;2892;821
04/03/2019;07 - 08;2675;773
04/03/2019;08 - 09;2421;738
04/03/2019;09 - 10;2243;744
04/03/2019;10 - 11;2251;758
04/03/2019;11 - 12;2318;760
04/03/2019;12 - 13;2438;846
04/03/2019;13 - 14;2558;936
04/03/2019;14 - 15;2710;1009
04/03/2019;15 - 16;2710;1012
04/03/2019;16 - 17;2669;1003
04/03/2019;17 - 18;2722;1006
04/03/2019;18 - 19;2781;980
04/03/2019;19 - 20;2816;974
04/03/2019;20 - 21;2867;959
04/03/2019;21 - 22;2867;931
04/03/2019;22 - 23;2857;917
04/03/2019;23 - 00;2856;912
05/03/2019;00 - 01;2714;930
05/03/2019;01 - 02;2633;960
05/03/2019;02 - 03;2408;965
05/03/2019;03 - 04;2252;988
05/03/2019;04 - 05;2180;1017
05/03/2019;05 - 06;2017;1012
05/03/2019;06 - 07;1899;980
05/03/2019;07 - 08;1813;937
05/03/2019;08 - 09;1708;901
05/03/2019;09 - 10;1549;865
05/03/2019;10 - 11;1512;836
05/03/2019;11 - 12;1481;814
05/03/2019;12 - 13;1457;802
05/03/2019;13 - 14;1463;789
05/03/2019;14 - 15;1470;792
05/03/2019;15 - 16;1354;770
05/03/2019;16 - 17;1176;739
05/03/2019;17 - 18;946;680
05/03/2019;18 - 19;767;623
05/03/2019;19 - 20;646;576
05/03/2019;20 - 21;579;529
05/03/2019;21 - 22;512;502
05/03/2019;22 - 23;462;443
05/03/2019;23 - 00;469;346
06/03/2019;00 - 01;422;297
06/03/2019;01 - 02;434;207
06/03/2019;02 - 03;492;166
06/03/2019;03 - 04;584;160
06/03/2019;04 - 05;719;158
06/03/2019;05 - 06;858;177
06/03/2019;06 - 07;996;211
06/03/2019;07 - 08;1186;266
06/03/2019;08 - 09;1401;314
06/03/2019;09 - 10;1480;344
06/03/2019;10 - 11;1535;382
06/03/2019;11 - 12;1658;444
06/03/2019;12 - 13;1873;516
06/03/2019;13 - 14;2068;606
06/03/2019;14 - 15;2244;700
06/03/2019;15 - 16;2340;756
06/03/2019;16 - 17;2393;782
06/03/2019;17 - 18;2458;813
06/03/2019;18 - 19;2444;836
06/03/2019;19 - 20;2347;866
06/03/2019;20 - 21;2213;852
06/03/2019;21 - 22;1993;811
06/03/2019;22 - 23;1799;766
06/03/2019;23 - 00;1642;724
07/03/2019;00 - 01;1776;759
07/03/2019;01 - 02;1636;738
07/03/2019;02 - 03;1486;696
07/03/2019;03 - 04;1342;658
07/03/2019;04 - 05;1290;618
07/03/2019;05 - 06;1198;626
07/03/2019;06 - 07;1143;593
07/03/2019;07 - 08;1100;576
07/03/2019;08 - 09;1011;621
07/03/2019;09 - 10;928;651
07/03/2019;10 - 11;945;666
07/03/2019;11 - 12;1027;713
07/03/2019;12 - 13;1233;785
07/03/2019;13 - 14;1591;860
07/03/2019;14 - 15;2168;944
07/03/2019;15 - 16;2640;970
07/03/2019;16 - 17;2764;879
07/03/2019;17 - 18;2986;792
07/03/2019;18 - 19;2969;746
07/03/2019;19 - 20;2814;786
07/03/2019;20 - 21;2592;805
07/03/2019;21 - 22;2333;817
07/03/2019;22 - 23;2077;857
07/03/2019;23 - 00;1771;874
08/03/2019;00 - 01;2570;948
08/03/2019;01 - 02;2247;972
08/03/2019;02 - 03;1946;970
08/03/2019;03 - 04;1837;961
08/03/2019;04 - 05;2008;943
08/03/2019;05 - 06;2437;928
08/03/2019;06 - 07;2867;902
08/03/2019;07 - 08;3113;898
08/03/2019;08 - 09;3284;946
08/03/2019;09 - 10;3121;948
08/03/2019;10 - 11;3097;930
08/03/2019;11 - 12;3152;927
08/03/2019;12 - 13;3222;928
08/03/2019;13 - 14;3339;941
08/03/2019;14 - 15;3395;973
08/03/2019;15 - 16;3399;1001
08/03/2019;16 - 17;3262;990
08/03/2019;17 - 18;3267;1001
08/03/2019;18 - 19;3026;968
08/03/2019;19 - 20;2742;952
08/03/2019;20 - 21;2497;908
08/03/2019;21 - 22;2279;803
08/03/2019;22 - 23;2087;744
08/03/2019;23 - 00;1829;686
09/03/2019;00 - 01;2105;584
09/03/2019;01 - 02;2210;614
09/03/2019;02 - 03;2453;654
09/03/2019;03 - 04;2719;716
09/03/2019;04 - 05;3002;800
09/03/2019;05 - 06;3170;897
09/03/2019;06 - 07;3240;952
09/03/2019;07 - 08;3283;961
09/03/2019;08 - 09;3440;974
09/03/2019;09 - 10;3402;960
09/03/2019;10 - 11;3378;954
09/03/2019;11 - 12;3315;960
09/03/2019;12 - 13;3290;967
09/03/2019;13 - 14;3327;984
09/03/2019;14 - 15;3317;988
09/03/2019;15 - 16;3271;973
09/03/2019;16 - 17;3174;956
09/03/2019;17 - 18;3292;991
09/03/2019;18 - 19;3310;998
09/03/2019;19 - 20;3313;1018
09/03/2019;20 - 21;3240;1025
09/03/2019;21 - 22;3114;1005
09/03/2019;22 - 23;3060;988
09/03/2019;23 - 00;2898;921
10/03/2019;00 - 01;3017;987
10/03/2019;01 - 02;3035;959
10/03/2019;02 - 03;3153;939
10/03/2019;03 - 04;3170;951
10/03/2019;04 - 05;2999;968
10/03/2019;05 - 06;2645;963
10/03/2019;06 - 07;2282;921
10/03/2019;07 - 08;1987;862
10/03/2019;08 - 09;1746;771
10/03/2019;09 - 10;1526;660
10/03/2019;10 - 11;1398;577
10/03/2019;11 - 12;1211;505
10/03/2019;12 - 13;1001;406
10/03/2019;13 - 14;868;283
10/03/2019;14 - 15;747;188
10/03/2019;15 - 16;658;150
10/03/2019;16 - 17;625;127
10/03/2019;17 - 18;650;127
10/03/2019;18 - 19;594;155
10/03/2019;19 - 20;581;230
10/03/2019;20 - 21;563;305
10/03/2019;21 - 22;528;294
10/03/2019;22 - 23;526;271
10/03/2019;23 - 00;547;248
11/03/2019;00 - 01;309;164
11/03/2019;01 - 02;308;118
11/03/2019;02 - 03;235;98
11/03/2019;03 - 04;175;67
11/03/2019;04 - 05;167;57
11/03/2019;05 - 06;146;61
11/03/2019;06 - 07;102;70
11/03/2019;07 - 08;93;77
11/03/2019;08 - 09;85;60
11/03/2019;09 - 10;87;58
11/03/2019;10 - 11;108;58
11/03/2019;11 - 12;137;70
11/03/2019;12 - 13;200;97
11/03/2019;13 - 14;319;120
11/03/2019;14 - 15;556;142
11/03/2019;15 - 16;810;150
11/03/2019;16 - 17;1002;152
11/03/2019;17 - 18;1230;137
11/03/2019;18 - 19;1331;143
11/03/2019;19 - 20;1365;177
11/03/2019;20 - 21;1316;271
11/03/2019;21 - 22;1197;368
11/03/2019;22 - 23;1023;378
11/03/2019;23 - 00;890;341
12/03/2019;00 - 01;901;207
12/03/2019;01 - 02;869;197
12/03/2019;02 - 03;775;248
12/03/2019;03 - 04;651;281
12/03/2019;04 - 05;636;284
12/03/2019;05 - 06;685;296
12/03/2019;06 - 07;808;300
12/03/2019;07 - 08;1000;320
12/03/2019;08 - 09;1300;358
12/03/2019;09 - 10;1608;379
12/03/2019;10 - 11;1978;433
12/03/2019;11 - 12;2432;478
12/03/2019;12 - 13;2820;519
12/03/2019;13 - 14;3187;623
12/03/2019;14 - 15;3425;766
12/03/2019;15 - 16;3486;884
12/03/2019;16 - 17;3380;935
12/03/2019;17 - 18;3511;992
12/03/2019;18 - 19;3522;1011
12/03/2019;19 - 20;3478;1028
12/03/2019;20 - 21;3445;1038
12/03/2019;21 - 22;3310;1023
12/03/2019;22 - 23;3131;1001
12/03/2019;23 - 00;2709;919
13/03/2019;00 - 01;2452;996
13/03/2019;01 - 02;2240;982
13/03/2019;02 - 03;2111;906
13/03/2019;03 - 04;2092;829
13/03/2019;04 - 05;2203;779
13/03/2019;05 - 06;2428;793
13/03/2019;06 - 07;2609;840
13/03/2019;07 - 08;2733;893
13/03/2019;08 - 09;2892;942
13/03/2019;09 - 10;2869;939
13/03/2019;10 - 11;2898;941
13/03/2019;11 - 12;2866;968
13/03/2019;12 - 13;2683;979
13/03/2019;13 - 14;2517;999
13/03/2019;14 - 15;2227;1016
13/03/2019;15 - 16;1929;1007
13/03/2019;16 - 17;1617;972
13/03/2019;17 - 18;1401;978
13/03/2019;18 - 19;1272;958
13/03/2019;19 - 20;1328;940
13/03/2019;20 - 21;1604;884
13/03/2019;21 - 22;1908;778
13/03/2019;22 - 23;2134;725
13/03/2019;23 - 00;2234;711
14/03/2019;00 - 01;2428;784
14/03/2019;01 - 02;2309;859
14/03/2019;02 - 03;2046;831
14/03/2019;03 - 04;1764;803
14/03/2019;04 - 05;1589;780
14/03/2019;05 - 06;1523;746
14/03/2019;06 - 07;1491;684
14/03/2019;07 - 08;1502;632
14/03/2019;08 - 09;1566;617
14/03/2019;09 - 10;1602;612
14/03/2019;10 - 11;1695;597
14/03/2019;11 - 12;1794;628
14/03/2019;12 - 13;1856;696
14/03/2019;13 - 14;1860;759
14/03/2019;14 - 15;1675;785
14/03/2019;15 - 16;1489;767
14/03/2019;16 - 17;1366;722
14/03/2019;17 - 18;1469;686
14/03/2019;18 - 19;1669;622
14/03/2019;19 - 20;1760;532
14/03/2019;20 - 21;1852;462
14/03/2019;21 - 22;1898;510
14/03/2019;22 - 23;1832;683
14/03/2019;23 - 00;1706;718
15/03/2019;00 - 01;1734;578
15/03/2019;01 - 02;1760;634
15/03/2019;02 - 03;1610;671
15/03/2019;03 - 04;1464;726
15/03/2019;04 - 05;1407;758
15/03/2019;05 - 06;1269;780
15/03/2019;06 - 07;1140;726
15/03/2019;07 - 08;1111;636
15/03/2019;08 - 09;1195;574
15/03/2019;09 - 10;1285;536
15/03/2019;10 - 11;1381;500
15/03/2019;11 - 12;1365;508
15/03/2019;12 - 13;1349;585
15/03/2019;13 - 14;1289;644
15/03/2019;14 - 15;1285;702
15/03/2019;15 - 16;1337;732
15/03/2019;16 - 17;1606;754
15/03/2019;17 - 18;2060;782
15/03/2019;18 - 19;2451;836
15/03/2019;19 - 20;2706;941
15/03/2019;20 - 21;2951;1001
15/03/2019;21 - 22;3150;1010
15/03/2019;22 - 23;3231;1011
15/03/2019;23 - 00;3206;978
16/03/2019;00 - 01;3330;1015
16/03/2019;01 - 02;3243;1017
16/03/2019;02 - 03;3109;954
16/03/2019;03 - 04;2918;926
16/03/2019;04 - 05;2799;894
16/03/2019;05 - 06;2660;874
16/03/2019;06 - 07;2448;828
16/03/2019;07 - 08;2234;792
16/03/2019;08 - 09;2197;782
16/03/2019;09 - 10;2133;735
16/03/2019;10 - 11;2056;706
16/03/2019;11 - 12;1813;660
16/03/2019;12 - 13;1554;567
16/03/2019;13 - 14;1322;455
16/03/2019;14 - 15;1054;368
16/03/2019;15 - 16;906;299
16/03/2019;16 - 17;885;334
16/03/2019;17 - 18;1063;445
16/03/2019;18 - 19;1416;501
16/03/2019;19 - 20;1805;583
16/03/2019;20 - 21;2266;686
16/03/2019;21 - 22;2654;766
16/03/2019;22 - 23;2906;840
16/03/2019;23 - 00;3024;873
17/03/2019;00 - 01;3327;937
17/03/2019;01 - 02;3415;941
17/03/2019;02 - 03;3308;904
17/03/2019;03 - 04;3230;913
17/03/2019;04 - 05;3514;930
17/03/2019;05 - 06;3504;964
17/03/2019;06 - 07;3345;972
17/03/2019;07 - 08;3240;962
17/03/2019;08 - 09;3354;964
17/03/2019;09 - 10;3355;926
17/03/2019;10 - 11;3465;885
17/03/2019;11 - 12;3606;889
17/03/2019;12 - 13;3695;956
17/03/2019;13 - 14;3780;996
17/03/2019;14 - 15;3739;1012
17/03/2019;15 - 16;3676;1015
17/03/2019;16 - 17;3611;1014
17/03/2019;17 - 18;3685;1040
17/03/2019;18 - 19;3717;1052
17/03/2019;19 - 20;3815;1081
17/03/2019;20 - 21;3892;1095
17/03/2019;21 - 22;3897;1094
17/03/2019;22 - 23;3888;1090
17/03/2019;23 - 00;3754;1048
18/03/2019;00 - 01;3678;1011
18/03/2019;01 - 02;3695;1018
18/03/2019;02 - 03;3556;980
18/03/2019;03 - 04;3385;977
18/03/2019;04 - 05;3276;969
18/03/2019;05 - 06;3160;994
18/03/2019;06 - 07;3015;998
18/03/2019;07 - 08;2876;977
18/03/2019;08 - 09;2890;990
18/03/2019;09 - 10;2909;977
18/03/2019;10 - 11;2907;940
18/03/2019;11 - 12;2944;930
18/03/2019;12 - 13;2950;918
18/03/2019;13 - 14;2926;899
18/03/2019;14 - 15;2790;858
18/03/2019;15 - 16;2603;806
18/03/2019;16 - 17;2388;759
18/03/2019;17 - 18;2227;713
18/03/2019;18 - 19;2058;680
18/03/2019;19 - 20;2028;670
18/03/2019;20 - 21;2025;661
18/03/2019;21 - 22;1940;644
18/03/2019;22 - 23;1778;585
18/03/2019;23 - 00;1595;496
19/03/2019;00 - 01;1243;383
19/03/2019;01 - 02;1177;357
19/03/2019;02 - 03;1071;316
19/03/2019;03 - 04;947;288
19/03/2019;04 - 05;852;267
19/03/2019;05 - 06;777;254
19/03/2019;06 - 07;707;228
19/03/2019;07 - 08;605;202
19/03/2019;08 - 09;494;169
19/03/2019;09 - 10;394;154
19/03/2019;10 - 11;310;142
19/03/2019;11 - 12;283;141
19/03/2019;12 - 13;283;155
19/03/2019;13 - 14;294;158
19/03/2019;14 - 15;302;139
19/03/2019;15 - 16;372;119
19/03/2019;16 - 17;417;103
19/03/2019;17 - 18;406;71
19/03/2019;18 - 19;432;46
19/03/2019;19 - 20;488;50
19/03/2019;20 - 21;580;108
19/03/2019;21 - 22;740;157
19/03/2019;22 - 23;971;141
19/03/2019;23 - 00;1313;133
20/03/2019;00 - 01;1834;155
20/03/2019;01 - 02;2117;207
20/03/2019;02 - 03;2256;261
20/03/2019;03 - 04;2330;313
20/03/2019;04 - 05;2404;369
20/03/2019;05 - 06;2383;487
20/03/2019;06 - 07;2245;580
20/03/2019;07 - 08;2047;611
20/03/2019;08 - 09;1860;645
20/03/2019;09 - 10;1639;652
20/03/2019;10 - 11;1502;639
20/03/2019;11 - 12;1466;647
20/03/2019;12 - 13;1483;641
20/03/2019;13 - 14;1524;629
20/03/2019;14 - 15;1484;593
20/03/2019;15 - 16;1418;559
20/03/2019;16 - 17;1264;516
20/03/2019;17 - 18;1108;469
20/03/2019;18 - 19;1021;465
20/03/2019;19 - 20;989;466
20/03/2019;20 - 21;979;460
20/03/2019;21 - 22;955;450
20/03/2019;22 - 23;1007;414
20/03/2019;23 - 00;1141;351
21/03/2019;00 - 01;1399;292
21/03/2019;01 - 02;1573;305
21/03/2019;02 - 03;1694;328
21/03/2019;03 - 04;1878;365
21/03/2019;04 - 05;2018;414
21/03/2019;05 - 06;2131;482
21/03/2019;06 - 07;2198;530
21/03/2019;07 - 08;2166;533
21/03/2019;08 - 09;2219;578
21/03/2019;09 - 10;2211;607
21/03/2019;10 - 11;2181;618
21/03/2019;11 - 12;2198;665
21/03/2019;12 - 13;2255;735
21/03/2019;13 - 14;2210;757
21/03/2019;14 - 15;2020;749
21/03/2019;15 - 16;1788;715
21/03/2019;16 - 17;1569;640
21/03/2019;17 - 18;1412;548
21/03/2019;18 - 19;1264;514
21/03/2019;19 - 20;1154;517
21/03/2019;20 - 21;1072;483
21/03/2019;21 - 22;988;448
21/03/2019;22 - 23;892;418
21/03/2019;23 - 00;734;356
22/03/2019;00 - 01;337;234
22/03/2019;01 - 02;186;182
22/03/2019;02 - 03;113;141
22/03/2019;03 - 04;76;100
22/03/2019;04 - 05;82;56
22/03/2019;05 - 06;122;35
22/03/2019;06 - 07;203;16
22/03/2019;07 - 08;266;14
22/03/2019;08 - 09;327;21
22/03/2019;09 - 10;408;21
22/03/2019;10 - 11;539;24
22/03/2019;11 - 12;729;38
22/03/2019;12 - 13;959;62
22/03/2019;13 - 14;1134;77
22/03/2019;14 - 15;1261;88
22/03/2019;15 - 16;1442;107
22/03/2019;16 - 17;1544;119
22/03/2019;17 - 18;1630;127
22/03/2019;18 - 19;1723;143
22/03/2019;19 - 20;1803;155
22/03/2019;20 - 21;1838;193
22/03/2019;21 - 22;1870;267
22/03/2019;22 - 23;1919;349
22/03/2019;23 - 00;1918;415
23/03/2019;00 - 01;1539;520
23/03/2019;01 - 02;1481;525
23/03/2019;02 - 03;1471;432
23/03/2019;03 - 04;1487;331
23/03/2019;04 - 05;1430;288
23/03/2019;05 - 06;1351;296
23/03/2019;06 - 07;1315;304
23/03/2019;07 - 08;1321;331
23/03/2019;08 - 09;1450;345
23/03/2019;09 - 10;1652;351
23/03/2019;10 - 11;1871;370
23/03/2019;11 - 12;2090;389
23/03/2019;12 - 13;2336;385
23/03/2019;13 - 14;2497;426
23/03/2019;14 - 15;2550;498
23/03/2019;15 - 16;2545;511
23/03/2019;16 - 17;2402;481
23/03/2019;17 - 18;2177;409
23/03/2019;18 - 19;1889;366
23/03/2019;19 - 20;1747;360
23/03/2019;20 - 21;1707;352
23/03/2019;21 - 22;1653;351
23/03/2019;22 - 23;1590;338
23/03/2019;23 - 00;1480;304
24/03/2019;00 - 01;1378;248
24/03/2019;01 - 02;1265;231
24/03/2019;02 - 03;1109;209
24/03/2019;03 - 04;984;186
24/03/2019;04 - 05;937;159
24/03/2019;05 - 06;938;136
24/03/2019;06 - 07;929;120
24/03/2019;07 - 08;990;105
24/03/2019;08 - 09;1156;104
24/03/2019;09 - 10;1409;97
24/03/2019;10 - 11;1736;101
24/03/2019;11 - 12;1986;124
24/03/2019;12 - 13;2195;163
24/03/2019;13 - 14;2347;206
24/03/2019;14 - 15;2526;255
24/03/2019;15 - 16;2589;305
24/03/2019;16 - 17;2552;361
24/03/2019;17 - 18;2594;477
24/03/2019;18 - 19;2525;557
24/03/2019;19 - 20;2544;615
24/03/2019;20 - 21;2645;663
24/03/2019;21 - 22;2664;693
24/03/2019;22 - 23;2547;718
24/03/2019;23 - 00;2501;763
25/03/2019;00 - 01;1983;679
25/03/2019;01 - 02;1905;678
25/03/2019;02 - 03;1807;644
25/03/2019;03 - 04;1708;606
25/03/2019;04 - 05;1707;583
25/03/2019;05 - 06;1752;577
25/03/2019;06 - 07;1847;542
25/03/2019;07 - 08;1902;475
25/03/2019;08 - 09;1968;450
25/03/2019;09 - 10;2080;433
25/03/2019;10 - 11;2098;421
25/03/2019;11 - 12;2048;395
25/03/2019;12 - 13;2040;415
25/03/2019;13 - 14;1988;487
25/03/2019;14 - 15;1814;577
25/03/2019;15 - 16;1636;619
25/03/2019;16 - 17;1468;598
25/03/2019;17 - 18;1209;505
25/03/2019;18 - 19;993;367
25/03/2019;19 - 20;1025;305
25/03/2019;20 - 21;1191;253
25/03/2019;21 - 22;1415;188
25/03/2019;22 - 23;1672;180
25/03/2019;23 - 00;1912;239
26/03/2019;00 - 01;2499;321
26/03/2019;01 - 02;2608;445
26/03/2019;02 - 03;2650;587
26/03/2019;03 - 04;2609;692
26/03/2019;04 - 05;2655;736
26/03/2019;05 - 06;2709;769
26/03/2019;06 - 07;2645;768
26/03/2019;07 - 08;2566;759
26/03/2019;08 - 09;2490;762
26/03/2019;09 - 10;2371;747
26/03/2019;10 - 11;2133;720
26/03/2019;11 - 12;1703;640
26/03/2019;12 - 13;1333;526
26/03/2019;13 - 14;1122;426
26/03/2019;14 - 15;1014;342
26/03/2019;15 - 16;971;281
26/03/2019;16 - 17;965;216
26/03/2019;17 - 18;955;152
26/03/2019;18 - 19;943;107
26/03/2019;19 - 20;1045;111
26/03/2019;20 - 21;1181;160
26/03/2019;21 - 22;1350;227
26/03/2019;22 - 23;1571;257
26/03/2019;23 - 00;1822;273
27/03/2019;00 - 01;1714;288
27/03/2019;01 - 02;1775;314
27/03/2019;02 - 03;1800;372
27/03/2019;03 - 04;1771;416
27/03/2019;04 - 05;1723;428
27/03/2019;05 - 06;1739;464
27/03/2019;06 - 07;1728;505
27/03/2019;07 - 08;1721;522
27/03/2019;08 - 09;1746;539
27/03/2019;09 - 10;1738;555
27/03/2019;10 - 11;1638;544
27/03/2019;11 - 12;1510;540
27/03/2019;12 - 13;1424;528
27/03/2019;13 - 14;1387;518
27/03/2019;14 - 15;1370;514
27/03/2019;15 - 16;1352;504
27/03/2019;16 - 17;1317;513
27/03/2019;17 - 18;1291;532
27/03/2019;18 - 19;1246;513
27/03/2019;19 - 20;1274;488
27/03/2019;20 - 21;1317;456
27/03/2019;21 - 22;1283;412
27/03/2019;22 - 23;1187;338
27/03/2019;23 - 00;1120;245
28/03/2019;00 - 01;1299;398
28/03/2019;01 - 02;1221;394
28/03/2019;02 - 03;1147;374
28/03/2019;03 - 04;1100;361
28/03/2019;04 - 05;1107;321
28/03/2019;05 - 06;1088;310
28/03/2019;06 - 07;1051;291
28/03/2019;07 - 08;1046;253
28/03/2019;08 - 09;1063;223
28/03/2019;09 - 10;1079;184
28/03/2019;10 - 11;1076;157
28/03/2019;11 - 12;1116;165
28/03/2019;12 - 13;1175;176
28/03/2019;13 - 14;1219;175
28/03/2019;14 - 15;1242;147
28/03/2019;15 - 16;1241;135
28/03/2019;16 - 17;1219;150
28/03/2019;17 - 18;1168;172
28/03/2019;18 - 19;1094;181
28/03/2019;19 - 20;1119;186
28/03/2019;20 - 21;1188;207
28/03/2019;21 - 22;1262;239
28/03/2019;22 - 23;1340;262
28/03/2019;23 - 00;1435;274
29/03/2019;00 - 01;1677;303
29/03/2019;01 - 02;1769;305
29/03/2019;02 - 03;1866;307
29/03/2019;03 - 04;1918;340
29/03/2019;04 - 05;2030;361
29/03/2019;05 - 06;2188;417
29/03/2019;06 - 07;2274;410
29/03/2019;07 - 08;2371;406
29/03/2019;08 - 09;2463;429
29/03/2019;09 - 10;2528;434
29/03/2019;10 - 11;2561;444
29/03/2019;11 - 12;2595;496
29/03/2019;12 - 13;2641;547
29/03/2019;13 - 14;2626;577
29/03/2019;14 - 15;2549;578
29/03/2019;15 - 16;2371;528
29/03/2019;16 - 17;2151;480
29/03/2019;17 - 18;1957;435
29/03/2019;18 - 19;1777;438
29/03/2019;19 - 20;1765;470
29/03/2019;20 - 21;1761;480
29/03/2019;21 - 22;1728;453
29/03/2019;22 - 23;1668;412
29/03/2019;23 - 00;1548;362
30/03/2019;00 - 01;1230;260
30/03/2019;01 - 02;1067;238
30/03/2019;02 - 03;909;194
30/03/2019;03 - 04;819;160
30/03/2019;04 - 05;797;154
30/03/2019;05 - 06;851;182
30/03/2019;06 - 07;929;216
30/03/2019;07 - 08;1018;231
30/03/2019;08 - 09;1135;251
30/03/2019;09 - 10;1298;264
30/03/2019;10 - 11;1424;262
30/03/2019;11 - 12;1572;256
30/03/2019;12 - 13;1724;268
30/03/2019;13 - 14;1766;287
30/03/2019;14 - 15;1783;315
30/03/2019;15 - 16;1781;356
30/03/2019;16 - 17;1802;383
30/03/2019;17 - 18;1862;416
30/03/2019;18 - 19;1824;478
30/03/2019;19 - 20;1855;513
30/03/2019;20 - 21;1889;542
30/03/2019;21 - 22;1947;581
30/03/2019;22 - 23;2041;604
30/03/2019;23 - 00;2247;565
31/03/2019;00 - 01;2390;504
31/03/2019;01 - 02;2523;491
31/03/2019;02 - 03;;
31/03/2019;03 - 04;2599;487
31/03/2019;04 - 05;2646;520
31/03/2019;05 - 06;2718;544
31/03/2019;06 - 07;2761;581
31/03/2019;07 - 08;2704;634
31/03/2019;08 - 09;2591;682
31/03/2019;09 - 10;2640;737
31/03/2019;10 - 11;2633;745
31/03/2019;11 - 12;2498;711
31/03/2019;12 - 13;2251;633
31/03/2019;13 - 14;2029;516
31/03/2019;14 - 15;1929;428
31/03/2019;15 - 16;1832;367
31/03/2019;16 - 17;1745;316
31/03/2019;17 - 18;1618;275
31/03/2019;18 - 19;1355;227
31/03/2019;19 - 20;962;160
31/03/2019;20 - 21;688;125
31/03/2019;21 - 22;535;119
31/03/2019;22 - 23;425;113
31/03/2019;23 - 00;309;89